value,indicator_type,source,tags,notes
ad9dfd6bac0d9d20123bced230923549439b5d77fa2610e94dbbaeb411cdf644,hash,manual,trojan,SHA256 hash of suspected trojan
906a5aca2ec0439dfe9c1c124578ab456825b773f25595330de96d78c13a4c69,hash,manual,malware,SHA256 hash of potential malware
d921ee044d098e85b056e92b67698a8aa4df20a074ae73c67e9fcd1f549af1f6,hash,manual,ransomware,SHA256 hash of ransomware sample
fe04cced8b578b08743f8ed02c3eecd78e414d2370d6554b070e5796d9b95dfc,hash,manual,malware,SHA256 hash of malicious executable
986d70b730d1e4ca4cab01e47b879449c789c5c3f71b5f8f5c46ab4a4a91c1ca,hash,manual,trojan,SHA256 hash of trojan
7f2b10f392ac2e5bf582ef32c5eef0266be97a3513a5539668dfe9ea9681b89a,hash,manual,malware,SHA256 hash of suspected malware
24c37344c4e940626e8116e09a3edf4e635f4b487cc7bbd765152c2e12bca4f4,hash,manual,ransomware,SHA256 hash of ransomware
cfdcfa233f9f4ede8ebd43e8b71883c8,hash,manual,malware,MD5 hash of malicious file
7a238e85ddc109ea71511e65d1236651,hash,manual,trojan,MD5 hash of trojan executable
8ceca9687da69d642d64b09656c65fb6,hash,manual,malware,MD5 hash of malicious file
cd210c09ee63658e43df3ce6df9f6b02,hash,manual,ransomware,MD5 hash of ransomware sample
e19a0b88c554a76102d9b949a2b9ff66,hash,manual,malware,MD5 hash of malicious file
d59a00871c1deaf89e4b4ff1052514ab,hash,manual,trojan,MD5 hash of trojan
58e45c793b0b3267a26f92590dd44987b2c094d5,hash,manual,ransomware,SHA1 hash of ransomware sample
a0067883c59d103b85abfc3a6a6271566b37b2e6,hash,manual,malware,SHA1 hash of malicious file
69b02c7bf2d5facbf9c08d83dd4e006a235443ba,hash,manual,trojan,SHA1 hash of trojan
1b00d3921003df71193b5aa71f0f2b8f01aa207a,hash,manual,malware,SHA1 hash of malicious file
49432a714e116a80de2ad33408fb54579eef6549,hash,manual,ransomware,SHA1 hash of ransomware
1.14.12.141,ip,manual,"scanning,bruteforce",Suspected SSH brute force attempts
1.180.230.98,ip,manual,botnet,Part of botnet infrastructure
1.180.62.41,ip,manual,"malware,scanning",Known malware distribution source
1.180.97.138,ip,manual,phishing,Hosting phishing pages
1.183.3.58,ip,manual,botnet,Part of botnet command and control
1.193.163.2,ip,manual,"scanning,bruteforce",Port scanning activity detected
1.204.71.81,ip,manual,malware,Known malware distribution IP
1.212.225.99,ip,manual,phishing,Hosting fake login pages
1.235.192.130,ip,manual,botnet,Botnet communication IP
1.235.192.131,ip,manual,"scanning,malware",Malware distribution and scanning
1.237.155.150,ip,manual,phishing,Suspected phishing server
1.24.210.27,ip,manual,botnet,Part of botnet network
1.241.64.92,ip,manual,"scanning,bruteforce",Brute force attack source
1.244.246.221,ip,manual,malware,Malware hosting IP
1.247.245.61,ip,manual,phishing,Phishing site host
1.252.204.204,ip,manual,botnet,Botnet C2 server
1.30.20.238,ip,manual,"malware,scanning",Malware distribution source
1.30.20.98,ip,manual,phishing,Hosting phishing pages
1.31.80.222,ip,manual,botnet,Botnet infrastructure IP
1.52.123.218,ip,manual,"scanning,bruteforce",SSH brute force attempts
1.7.229.162,ip,manual,malware,Malware distribution IP
https://pay.vivapagamento.com/686d433693bcb2cfe7ecabcf,url,manual,phishing,Suspected fake payment portal
https://swedishmission.com/cid-82042-eid-243360,url,manual,"phishing,scam",Potential scam website
https://start-io-trezor-login.typedream.app/,url,manual,phishing,Fake cryptocurrency wallet login
http://start-io-trezor-login.typedream.app,url,manual,phishing,Fake cryptocurrency wallet login
http://trezor-io-start-learn-access-us.typedream.app,url,manual,phishing,Fake Trezor login page
https://trezor-io-start-learn-access-us.typedream.app/,url,manual,phishing,Fake Trezor login page
https://novobanco.sms-pt.info/?n=915151515,url,manual,"phishing,smishing",Fake banking SMS scam
https://belkkkkkkppp.webflow.io/,url,manual,phishing,Suspected phishing site
https://web-io-trezor-sso.typedream.app/,url,manual,phishing,Fake Trezor SSO page
http://web-io-trezor-sso.typedream.app,url,manual,phishing,Fake Trezor SSO page
https://contrat-ulys.com/,url,manual,"phishing,scam",Potential scam contract site
https://contrat-ulys.com/as.php,url,manual,"phishing,scam",Potential scam contract page
https://secu-link-mrelay.info/,url,manual,phishing,Suspected phishing relay
https://secu-link-mrelay.info/as.php,url,manual,phishing,Suspected phishing relay page
https://evardis.de/info/,url,manual,"phishing,scam",Potential scam website
https://teamnaoki.com/cid-82042-eid-153582,url,manual,"phishing,scam",Suspected scam site
https://us16.campaign-archive.com/?u=e2193dd9bbab938499efabe6c&id=237aa3197e,url,manual,"phishing,spam",Malicious email campaign link
https://us2.campaign-archive.com/?u=91237f99a53e3c5d6c6a386c9&id=825f7b6fce,url,manual,"phishing,spam",Malicious email campaign link
https://green-forest-gb567.32cx354xvggiuhk.workers.dev/vrughdyhyjabujecuruppkrck10?ck=1&pxg=gen&e=&ep=&en=&eu=,url,manual,"malware,phishing",Suspected malware distribution link
https://arkansas.mobile-ofvp.cc/us,url,manual,phishing,Fake mobile service page
